index,softwareUnderstanding,understandingConcepts,practiceSM,testSM
99,25,16.5,53.5,33.5
100,53,30.5,55.5,46.5
101,28,18.5,50.0,50.0
102,49,29.0,30.5,25.5
103,18,13.5,33.0,47.0
104,18,13.5,39.0,47.0
105,14,11.5,31.0,36.0
106,14,11.5,29.0,23.0
107,14,11.5,11.0,8.0
108,35,22.5,20.5,21.5
109,43,26.5,48.5,23.5
110,29,20.0,56.5,20.5
111,25,18.0,39.5,37.5
112,20,15.5,14.0,58.0
113,14,13.0,8.0,49.0
114,18,15.0,22.0,28.0
115,14,13.0,46.0,41.0
116,11,11.5,17.5,12.5
117,29,20.5,46.5,25.5
118,14,13.0,29.0,11.0
119,28,20.5,14.0,58.0
120,26,19.5,14.0,22.0
121,14,13.5,11.0,45.0
122,12,12.5,40.0,15.0
123,18,15.5,32.0,47.0
124,14,14.0,24.0,41.0
125,21,17.5,11.5,14.5
126,37,25.5,50.5,41.5
127,36,25.0,21.0,39.0
128,4,9.0,45.0,23.0
129,44,29.0,67.0,65.0
130,45,29.5,63.5,36.5
131,7,10.5,48.5,38.5
132,24,19.0,58.0,58.0
133,14,14.0,30.0,29.0
134,39,27.0,25.5,69.5
135,28,21.5,26.0,55.0
136,29,22.0,43.5,21.5
137,29,22.0,63.5,35.5
138,35,25.0,22.5,33.5
139,35,25.0,38.5,35.5
140,35,25.0,37.5,24.5
141,35,25.0,63.5,20.5
142,34,24.5,17.0,31.0
143,35,25.0,36.5,45.5
144,35,25.0,41.5,30.5
145,35,25.0,49.5,59.5
146,35,25.0,32.5,28.5
147,35,25.0,64.5,20.5
148,45,30.0,53.5,50.5
149,14,14.5,35.0,33.0
150,45,30.0,65.5,58.5
151,51,33.0,69.5,71.5
152,14,14.5,39.0,17.0
153,14,14.5,36.0,12.0
154,45,30.0,67.5,53.5
155,44,29.5,31.0,69.0
156,62,38.5,74.0,33.0
157,17,16.0,57.5,49.5
158,14,14.5,37.0,9.0
159,46,30.5,46.0,46.0
160,46,30.5,24.0,28.0
161,18,16.5,42.0,16.0
162,18,16.5,56.0,41.0
163,18,16.5,46.0,29.0
164,18,16.5,33.0,47.0
165,18,16.5,57.0,11.0
166,55,35.0,53.5,76.5
167,37,26.0,28.5,42.5
168,20,17.5,24.0,11.0
169,33,24.0,53.5,38.5
170,48,31.5,72.0,35.0
171,58,36.5,40.0,67.0
172,14,14.5,15.0,33.0
173,46,30.5,54.0,31.0
174,21,18.0,37.5,20.5
175,21,18.0,30.5,30.5
176,21,18.0,53.5,49.5
177,21,18.0,59.5,40.5
178,21,18.0,36.5,40.5
179,21,18.0,53.5,36.5
180,21,18.0,21.5,17.5
181,21,18.0,13.5,44.5
182,21,18.0,59.5,38.5
183,61,38.0,60.5,55.5
184,14,14.5,22.0,37.0
185,22,18.5,36.0,43.0
186,32,23.5,41.0,52.0
187,42,28.5,56.0,37.0
188,42,28.5,42.0,32.0
189,52,33.5,28.0,45.0
190,32,23.5,18.0,35.0
191,32,23.5,25.0,66.0
192,32,23.5,25.0,35.0
193,32,23.5,33.0,38.0
194,43,29.0,64.5,47.5
195,32,23.5,55.0,64.0
196,32,23.5,22.0,51.0
197,32,23.5,48.0,45.0
198,32,23.5,39.0,37.0
199,51,33.0,44.5,34.5
200,64,39.5,56.0,61.0
201,55,35.0,28.5,64.5
202,58,36.5,61.0,69.0
203,25,20.0,58.5,51.5
204,25,20.0,20.5,37.5
205,25,20.0,34.5,14.5
206,25,20.0,50.5,18.5
207,25,20.0,22.5,43.5
208,25,20.0,43.5,53.5
209,44,29.5,37.0,42.0
210,25,20.0,22.5,41.5
211,25,20.0,62.5,20.5
212,25,20.0,27.5,22.5
213,25,20.0,24.5,30.5
214,25,20.0,58.5,60.5
215,25,20.0,21.5,62.5
216,25,20.0,21.5,43.5
217,25,20.0,61.5,13.5
218,44,29.5,56.0,48.0
219,53,34.0,36.5,47.5
220,31,23.0,44.5,40.5
221,26,20.5,48.0,27.0
222,57,36.0,40.5,59.5
223,26,20.5,56.0,42.0
224,53,34.0,44.5,50.5
225,39,27.0,37.5,68.5
226,39,27.0,39.5,58.5
227,39,27.0,56.5,35.5
228,39,27.0,54.5,22.5
229,39,27.0,23.5,50.5
230,39,27.0,32.5,46.5
231,39,27.0,29.5,23.5
232,41,28.0,56.5,21.5
233,35,25.0,23.5,24.5
234,41,28.0,36.5,31.5
235,27,21.0,34.5,46.5
236,50,32.5,35.0,68.0
237,11,13.0,36.5,50.5
238,14,14.5,21.0,56.0
239,47,31.0,64.5,64.5
240,40,27.5,30.0,62.0
241,11,13.0,32.5,35.5
242,28,21.5,40.0,62.0
243,28,21.5,33.0,55.0
244,11,13.0,27.5,37.5
245,28,21.5,40.0,50.0
246,40,27.5,32.0,68.0
247,40,27.5,33.0,57.0
248,28,21.5,40.0,37.0
249,28,21.5,62.0,46.0
250,28,21.5,53.0,36.0
251,21,18.5,38.5,14.5
252,14,15.0,35.0,50.0
253,19,17.5,17.5,17.5
254,49,32.5,32.5,60.5
255,35,25.5,57.5,35.5
256,18,17.0,29.0,20.0
257,34,25.0,59.0,48.0
258,25,20.5,59.5,17.5
259,28,22.5,41.0,16.0
260,11,14.0,33.5,54.5
261,11,14.0,35.5,52.5
262,39,28.5,67.5,36.5
263,18,18.0,26.0,30.0
264,32,25.0,26.0,53.0
265,31,24.5,35.5,39.5
266,28,23.0,49.0,58.0
267,18,18.0,42.0,43.0
268,14,16.0,11.0,39.0
269,54,36.0,67.0,50.0
270,19,18.5,33.5,59.5
271,14,16.0,27.0,34.0
272,21,20.0,22.5,53.5
273,11,15.0,33.5,35.5
274,39,29.0,27.5,50.5
275,25,22.0,12.5,53.5
276,43,31.0,56.5,22.5
277,22,20.5,52.0,23.0
278,42,30.5,29.0,54.0
279,51,35.0,68.5,72.5
280,35,27.0,35.5,50.5
281,32,25.5,54.0,43.0
282,32,25.5,16.0,18.0
283,25,22.0,58.5,34.5
284,14,16.5,9.0,8.0
285,14,16.5,8.0,21.0
286,46,32.5,68.0,33.0
287,21,20.0,18.5,41.5
288,29,24.0,57.5,44.5
289,21,20.0,47.5,10.5
290,27,23.0,21.5,34.5
291,18,18.5,42.0,12.0
292,25,22.0,50.5,46.5
293,28,23.5,46.0,49.0
294,21,20.0,42.5,10.5
295,37,28.0,29.5,53.5
296,25,22.0,34.5,46.5
297,7,13.5,21.5,46.5
298,30,25.0,38.0,56.0
299,12,16.0,48.0,23.0
300,22,21.0,11.0,50.0
301,25,22.5,31.5,31.5
302,52,36.0,71.0,59.0
303,11,15.5,9.5,35.5
304,27,23.5,41.5,36.5
305,25,22.5,33.5,62.5
306,30,25.0,24.0,55.0
307,21,20.5,54.5,50.5
308,69,44.5,60.5,61.5
309,25,22.5,35.5,48.5
310,0,10.0,34.0,15.0
311,21,20.5,17.5,24.5
312,21,21.0,53.5,27.5
313,25,23.0,50.5,48.5
314,50,35.5,73.0,72.0
315,17,19.0,40.5,47.5
316,25,23.0,20.5,54.5
317,11,16.0,24.5,49.5
318,62,41.5,31.0,67.0
319,28,24.5,17.0,53.0
320,28,24.5,43.0,21.0
321,18,19.5,14.0,29.0
322,23,22.0,54.5,37.5
323,35,28.0,40.5,67.5
324,18,19.5,14.0,50.0
325,26,23.5,60.0,43.0
326,19,20.0,29.5,17.5
327,21,21.0,44.5,12.5
328,21,21.0,40.5,37.5
329,40,30.5,54.0,25.0
330,47,34.0,71.5,66.5
331,25,23.0,13.5,54.5
332,28,25.0,32.0,56.0
333,28,25.0,58.0,40.0
334,29,25.5,64.5,35.5
335,32,27.0,26.0,30.0
336,33,27.5,64.5,34.5
337,25,23.5,25.5,60.5
338,25,23.5,57.5,33.5
339,25,23.5,37.5,49.5
340,25,23.5,13.5,42.5
341,18,20.0,55.0,58.0
342,18,20.0,53.0,38.0
343,7,14.5,22.5,4.5
344,25,23.5,27.5,27.5
345,35,28.5,18.5,25.5
346,46,34.0,23.0,29.0
347,49,35.5,72.5,41.5
348,11,16.5,26.5,22.5
349,35,28.5,33.5,26.5
350,18,20.0,52.0,20.0
351,21,21.5,50.5,57.5
352,39,30.5,42.5,45.5
353,5,13.5,31.5,46.5
354,24,23.0,39.0,12.0
355,36,29.0,29.0,65.0
356,64,43.0,39.0,51.0
357,18,20.0,32.0,47.0
358,38,30.0,42.0,52.0
359,51,36.5,48.5,41.5
360,28,25.0,39.0,44.0
361,72,47.5,68.0,71.0
362,50,36.5,65.0,54.0
363,26,24.5,62.0,61.0
364,39,31.0,22.5,30.5
365,19,21.0,45.5,58.5
366,44,33.5,49.0,53.0
367,19,21.0,31.5,15.5
368,35,29.0,61.5,40.5
369,32,27.5,16.0,51.0
370,35,29.0,44.5,66.5
371,19,21.0,35.5,41.5
372,58,40.5,61.0,64.0
373,4,13.5,50.0,38.0
374,19,21.0,36.5,47.5
375,11,17.0,41.5,50.5
376,49,36.0,28.5,30.5
377,19,21.0,54.5,25.5
378,20,21.5,55.0,20.0
379,20,21.5,39.0,55.0
380,30,26.5,29.0,46.0
381,14,18.5,12.0,29.0
382,14,18.5,29.0,55.0
383,46,34.5,26.0,72.0
384,14,18.5,29.0,18.0
385,53,38.0,39.5,72.5
386,40,31.5,47.0,53.0
387,50,36.5,45.0,57.0
388,45,34.0,31.5,42.5
389,35,29.0,36.5,34.5
390,14,18.5,29.0,12.0
391,14,18.5,30.0,39.0
392,35,29.0,33.5,48.5
393,46,34.5,73.0,67.0
394,35,29.0,38.5,42.5
395,47,35.0,52.5,32.5
396,35,29.0,59.5,65.5
397,76,49.5,49.0,38.0
398,35,29.0,40.5,65.5
399,35,29.0,23.5,30.5
400,56,39.5,56.0,76.0
401,41,32.0,22.5,57.5
402,40,31.5,20.0,60.0
403,40,31.5,60.0,57.0
404,43,33.0,64.5,38.5
405,63,43.0,33.5,73.5
406,35,29.0,21.5,48.5
407,65,44.0,41.5,33.5
408,25,24.0,39.5,23.5
409,35,29.0,25.5,45.5
410,35,29.0,48.5,65.5
411,26,24.5,33.0,29.0
412,46,34.5,24.0,70.0
413,21,22.0,38.5,14.5
414,26,24.5,32.0,40.0
415,21,22.0,23.5,24.5
416,21,22.0,43.5,22.5
417,21,22.0,55.5,52.5
418,21,22.0,50.5,23.5
419,61,42.0,73.5,57.5
420,21,22.0,43.5,60.5
421,21,22.0,38.5,50.5
422,21,22.0,16.5,22.5
423,21,22.0,12.5,49.5
424,55,39.0,64.5,56.5
425,59,41.0,40.5,60.5
426,29,26.0,57.5,59.5
427,26,24.5,28.0,27.0
428,64,43.5,47.0,70.0
429,29,26.0,46.5,59.5
430,7,15.0,30.5,10.5
431,29,26.0,61.5,17.5
432,44,33.5,50.0,31.0
433,45,34.0,46.5,35.5
434,7,15.0,9.5,46.5
435,38,30.5,41.0,31.0
436,26,24.5,28.0,42.0
437,26,24.5,33.0,41.0
438,42,32.5,57.0,57.0
439,45,34.0,61.5,51.5
440,46,34.5,46.0,69.0
441,29,26.0,59.5,28.5
442,33,28.0,20.5,64.5
443,50,36.5,39.0,67.0
444,40,31.5,52.0,63.0
445,46,34.5,23.0,45.0
446,33,28.0,56.5,42.5
447,23,23.0,11.5,38.5
448,29,26.0,47.5,15.5
449,42,32.5,46.0,58.0
450,36,29.5,38.0,66.0
451,49,36.0,60.5,63.5
452,28,25.5,47.0,33.0
453,28,25.5,25.0,57.0
454,39,31.0,62.5,57.5
455,28,25.5,19.0,44.0
456,42,32.5,28.0,41.0
457,28,25.5,38.0,41.0
458,42,32.5,70.0,41.0
459,28,25.5,52.0,57.0
460,58,40.5,46.0,42.0
461,46,34.5,63.0,67.0
462,32,27.5,35.0,44.0
463,43,33.0,69.5,53.5
464,32,27.5,62.0,60.0
465,33,28.0,39.5,66.5
466,24,23.5,28.0,40.0
467,28,25.5,56.0,37.0
468,28,25.5,14.0,52.0
469,43,33.0,54.5,28.5
470,28,25.5,15.0,60.0
471,28,25.5,43.0,55.0
472,43,33.0,54.5,45.5
473,36,29.5,67.0,55.0
474,64,43.5,59.0,79.0
475,54,38.5,68.0,53.0
476,54,38.5,27.0,70.0
477,51,37.0,48.5,31.5
478,36,29.5,33.0,33.0
479,46,34.5,25.0,56.0
480,13,18.0,43.5,43.5
481,49,36.0,32.5,36.5
482,32,27.5,59.0,52.0
483,39,31.0,57.5,40.5
484,39,31.0,69.5,31.5
485,50,36.5,59.0,43.0
486,37,30.0,25.5,58.5
487,53,38.0,48.5,28.5
488,39,31.0,56.5,22.5
489,39,31.0,63.5,59.5
490,43,33.0,40.5,29.5
491,39,31.0,62.5,22.5
492,39,31.0,64.5,58.5
493,39,31.0,35.5,46.5
494,39,31.0,42.5,60.5
495,53,38.0,55.5,29.5
496,39,31.0,31.5,47.5
497,32,27.5,56.0,17.0
498,47,35.0,37.5,38.5
499,39,31.0,49.5,63.5
500,32,27.5,19.0,59.0
501,39,31.0,57.5,61.5
502,45,34.0,53.5,31.5
503,39,31.0,61.5,28.5
504,43,33.0,42.5,21.5
505,43,33.0,64.5,52.5
506,37,30.0,35.5,53.5
507,39,31.0,62.5,30.5
508,39,31.0,30.5,35.5
509,46,34.5,66.0,34.0
510,25,24.0,14.5,60.5
511,25,24.0,35.5,32.5
512,25,24.0,34.5,24.5
513,25,24.0,15.5,57.5
514,25,24.0,52.5,12.5
515,37,30.0,63.5,60.5
516,25,24.0,24.5,44.5
517,25,24.0,25.5,31.5
518,66,44.5,46.0,76.0
519,32,27.5,46.0,34.0
520,32,27.5,45.0,58.0
521,25,24.0,46.5,60.5
522,25,24.0,25.5,61.5
523,48,35.5,52.0,49.0
524,13,18.0,20.5,16.5
525,34,28.5,23.0,30.0
526,46,34.5,55.0,53.0
527,52,37.5,70.0,32.0
528,18,20.5,25.0,48.0
529,18,20.5,30.0,18.0
530,18,20.5,36.0,58.0
531,18,20.5,53.0,22.0
532,25,24.0,38.5,33.5
533,18,20.5,11.0,17.0
534,18,20.5,13.0,45.0
535,18,20.5,49.0,59.0
536,18,20.5,59.0,24.0
537,25,24.0,22.5,34.5
538,25,24.0,21.5,24.5
539,56,39.5,51.0,54.0
540,52,37.5,75.0,28.0
541,34,28.5,44.0,59.0
542,34,28.5,52.0,41.0
543,52,37.5,41.0,53.0
544,33,28.0,50.5,37.5
545,70,46.5,49.0,80.0
546,11,17.0,22.5,11.5
547,26,24.5,26.0,27.0
548,32,27.5,21.0,65.0
549,40,32.0,46.0,22.0
550,18,21.0,33.0,9.0
551,40,32.0,37.0,21.0
552,24,24.0,12.0,61.0
553,18,21.0,19.0,23.0
554,44,34.0,27.0,35.0
555,21,22.5,16.5,19.5
556,21,22.5,39.5,21.5
557,21,22.5,31.5,56.5
558,59,41.5,79.5,36.5
559,35,29.5,53.5,37.5
560,28,26.0,17.0,35.0
561,28,26.0,64.0,17.0
562,35,29.5,63.5,32.5
563,32,28.0,29.0,59.0
564,43,33.5,29.5,29.5
565,25,24.5,59.5,54.5
566,11,17.5,53.5,39.5
567,37,30.5,40.5,27.5
568,11,17.5,16.5,17.5
569,29,26.5,39.5,21.5
570,33,28.5,54.5,45.5
571,39,31.5,23.5,52.5
572,7,15.5,9.5,28.5
573,39,31.5,32.5,35.5
574,32,28.0,63.0,25.0
575,33,28.5,56.5,26.5
576,31,27.5,47.5,59.5
577,26,25.0,46.0,19.0
578,28,26.5,58.0,18.0
579,42,33.5,24.0,21.0
580,19,22.0,24.5,10.5
581,26,25.5,63.0,43.0
582,44,34.5,52.0,53.0
583,48,36.5,44.0,44.0
584,56,40.5,34.0,76.0
585,35,30.0,45.5,63.5
586,17,21.0,55.5,27.5
587,35,30.0,18.5,45.5
588,51,38.0,31.5,68.5
589,32,28.5,39.0,65.0
590,32,28.5,26.0,49.0
591,23,24.0,45.5,37.5
592,35,30.0,49.5,19.5
593,32,28.5,32.0,46.0
594,21,23.0,55.5,58.5
595,45,35.0,38.5,40.5
596,21,23.0,11.5,33.5
597,21,23.0,58.5,46.5
598,25,25.0,43.5,12.5
599,32,28.5,28.0,48.0
600,39,32.0,43.5,41.5
601,25,25.0,27.5,61.5
602,35,30.5,31.5,38.5
603,11,18.5,35.5,25.5
604,21,23.5,42.5,22.5
605,21,23.5,21.5,23.5
606,25,25.5,14.5,60.5
607,23,24.5,32.5,49.5
608,25,25.5,40.5,13.5
609,18,22.0,20.0,26.0
610,39,32.5,19.5,63.5
611,18,22.0,32.0,41.0
612,7,16.5,14.5,39.5
613,16,21.0,38.0,53.0
614,31,28.5,50.5,31.5
615,14,20.0,42.0,43.0
616,14,20.0,28.0,41.0
617,35,30.5,40.5,24.5
618,11,18.5,6.5,27.5
619,25,25.5,25.5,13.5
620,25,25.5,31.5,16.5
621,14,20.0,53.0,39.0
622,20,23.0,37.0,33.0
623,30,28.0,61.0,51.0
624,25,25.5,24.5,58.5
625,9,18.0,29.5,29.5
626,14,20.5,51.0,22.0
627,69,48.0,66.5,67.5
628,13,20.0,36.5,25.5
629,21,24.0,17.5,17.5
630,33,30.0,37.5,44.5
631,18,22.5,17.0,38.0
632,30,28.5,35.0,41.0
633,72,49.5,66.0,43.0
634,38,32.5,69.0,33.0
635,41,34.0,31.5,28.5
636,11,19.0,38.5,26.5
637,42,34.5,39.0,36.0
638,43,35.0,40.5,33.5
639,28,27.5,59.0,37.0
640,25,26.0,21.5,56.5
641,34,30.5,32.0,53.0
642,52,39.5,63.0,72.0
643,14,20.5,7.0,15.0
644,19,23.0,19.5,39.5
645,25,26.0,19.5,42.5
646,36,31.5,38.0,38.0
647,25,26.0,53.5,43.5
648,47,37.0,63.5,33.5
649,25,26.0,60.5,12.5
650,28,27.5,57.0,27.0
651,32,29.5,63.0,41.0
652,18,22.5,53.0,20.0
653,37,32.0,38.5,34.5
654,33,30.0,35.5,48.5
655,65,46.0,44.5,52.5
656,21,24.0,40.5,34.5
657,16,21.5,32.0,30.0
658,25,26.0,55.5,52.5
659,9,18.5,10.5,28.5
660,25,26.5,51.5,22.5
661,7,17.5,7.5,24.5
662,22,25.0,55.0,11.0
663,35,31.5,17.5,62.5
664,66,47.0,33.0,41.0
665,39,33.5,58.5,24.5
666,36,32.0,21.0,24.0
667,38,33.0,51.0,31.0
668,25,26.5,46.5,25.5
669,28,28.0,52.0,42.0
670,25,26.5,12.5,15.5
671,25,26.5,30.5,55.5
672,20,24.0,24.0,22.0
673,21,24.5,43.5,59.5
674,38,33.0,35.0,35.0
675,21,24.5,52.5,16.5
676,34,31.0,49.0,47.0
677,25,26.5,28.5,49.5
678,33,30.5,29.5,36.5
679,51,39.5,40.5,30.5
680,14,21.0,30.0,26.0
681,11,19.5,30.5,34.5
682,45,36.5,26.5,51.5
683,29,28.5,59.5,32.5
684,25,26.5,13.5,57.5
685,18,23.0,25.0,18.0
686,50,39.0,50.0,70.0
687,36,32.0,35.0,26.0
688,29,28.5,63.5,44.5
689,32,30.0,36.0,60.0
690,25,26.5,61.5,25.5
691,25,26.5,19.5,45.5
692,48,38.0,26.0,30.0
693,18,23.0,29.0,33.0
694,39,33.5,27.5,23.5
695,21,25.0,32.5,25.5
696,40,34.5,52.0,38.0
697,40,34.5,49.0,70.0
698,39,34.0,49.5,39.5
699,12,20.5,7.0,39.0
700,14,21.5,42.0,46.0
701,16,22.5,38.0,16.0
702,38,33.5,55.0,56.0
703,18,23.5,49.0,45.0
704,18,23.5,34.0,12.0
705,38,33.5,46.0,59.0
706,8,18.5,16.0,4.0
707,21,25.0,32.5,48.5
708,21,25.0,17.5,22.5
709,21,25.0,10.5,14.5
710,37,33.0,64.5,66.5
711,22,25.5,31.0,59.0
712,22,25.5,15.0,37.0
713,22,25.5,22.0,51.0
714,37,33.0,55.5,60.5
715,42,35.5,32.0,39.0
716,62,45.5,79.0,38.0
717,35,32.0,22.5,51.5
718,48,38.5,45.0,25.0
719,25,27.0,50.5,60.5
720,25,27.0,62.5,12.5
721,26,27.5,46.0,48.0
722,26,27.5,37.0,41.0
723,26,27.5,25.0,14.0
724,45,37.0,30.5,28.5
725,40,34.5,63.0,50.0
726,45,37.0,52.5,43.5
727,28,28.5,59.0,36.0
728,32,30.5,16.0,41.0
729,28,28.5,48.0,55.0
730,32,30.5,49.0,55.0
731,32,30.5,66.0,49.0
732,32,30.5,43.0,16.0
733,28,29.0,51.0,39.0
734,39,34.5,55.5,20.5
735,28,29.0,54.0,23.0
736,43,36.5,31.5,59.5
737,44,37.0,53.0,42.0
738,32,31.0,19.0,36.0
739,32,31.0,17.0,45.0
740,32,31.0,19.0,17.0
741,28,29.0,32.0,20.0
742,43,36.5,23.5,40.5
743,28,29.0,54.0,42.0
744,28,29.0,28.0,15.0
745,74,52.0,82.0,52.0
746,28,29.0,15.0,54.0
747,59,44.5,61.5,41.5
748,28,29.0,31.0,27.0
749,28,29.0,14.0,53.0
750,19,24.5,50.5,49.5
751,43,36.5,50.5,31.5
752,44,37.0,23.0,23.0
753,35,32.5,58.5,28.5
754,32,31.0,63.0,56.0
755,32,31.0,16.0,31.0
756,61,45.5,70.5,40.5
757,66,48.0,80.0,59.0
758,58,44.0,58.0,50.0
759,50,40.0,68.0,44.0
760,66,48.0,53.0,59.0
761,53,41.5,36.5,60.5
762,32,31.0,48.0,30.0
763,32,31.0,58.0,54.0
764,28,29.0,37.0,38.0
765,32,31.0,17.0,38.0
766,19,24.5,36.5,17.5
767,50,40.0,49.0,48.0
768,47,38.5,68.5,31.5
769,50,40.0,34.0,25.0
770,16,23.0,10.0,51.0
771,49,39.5,35.5,59.5
772,58,44.0,71.0,52.0
773,35,32.5,58.5,28.5
774,32,31.0,54.0,19.0
775,19,24.5,42.5,10.5
776,32,31.0,44.0,41.0
777,4,17.0,47.0,41.0
778,37,33.5,28.5,35.5
779,4,17.0,15.0,5.0
780,49,39.5,69.5,53.5
781,16,23.0,53.0,49.0
782,46,38.0,33.0,37.0
783,32,31.0,45.0,31.0
784,35,32.5,46.5,34.5
785,39,34.5,53.5,44.5
786,53,41.5,45.5,43.5
787,46,38.0,52.0,69.0
788,30,30.0,15.0,48.0
789,33,31.5,57.5,29.5
790,46,38.0,23.0,57.0
791,39,34.5,38.5,29.5
792,46,38.0,53.0,69.0
793,41,35.5,22.5,64.5
794,18,24.0,49.0,41.0
795,18,24.0,20.0,23.0
796,44,37.0,59.0,35.0
797,67,48.5,71.5,74.5
798,18,24.0,14.0,54.0
799,54,42.0,50.0,49.0
800,45,37.5,41.5,54.5
801,47,38.5,55.5,49.5
802,18,24.0,53.0,35.0
803,18,24.0,44.0,24.0
804,18,24.0,24.0,10.0
805,39,34.5,19.5,65.5
806,46,38.0,67.0,25.0
807,18,24.0,30.0,19.0
808,18,24.0,50.0,34.0
809,58,44.0,67.0,36.0
810,18,24.0,33.0,53.0
811,18,24.0,48.0,48.0
812,58,44.0,38.0,76.0
813,49,39.5,46.5,72.5
814,39,34.5,24.5,55.5
815,46,38.0,28.0,34.0
816,33,31.5,61.5,49.5
817,52,41.0,76.0,40.0
818,54,42.0,47.0,56.0
819,39,34.5,61.5,36.5
820,39,34.5,60.5,26.5
821,49,39.5,63.5,61.5
822,44,37.0,62.0,46.0
823,39,34.5,42.5,33.5
824,36,33.0,27.0,47.0
825,23,26.5,28.5,16.5
826,35,32.5,64.5,63.5
827,24,27.0,15.0,31.0
828,39,34.5,53.5,63.5
829,36,33.0,63.0,41.0
830,23,26.5,20.5,38.5
831,39,34.5,21.5,65.5
832,55,42.5,60.5,74.5
833,39,34.5,38.5,48.5
834,55,42.5,63.5,77.5
835,39,34.5,48.5,56.5
836,35,32.5,31.5,67.5
837,52,41.0,36.0,32.0
838,55,42.5,36.5,70.5
839,48,39.0,67.0,74.0
840,36,33.0,60.0,21.0
841,54,42.0,53.0,49.0
842,56,43.0,46.0,78.0
843,35,32.5,59.5,30.5
844,24,27.0,28.0,16.0
845,44,37.0,31.0,54.0
846,54,42.0,58.0,29.0
847,51,40.5,56.5,56.5
848,35,32.5,67.5,67.5
849,36,33.0,67.0,46.0
850,63,46.5,44.5,45.5
851,44,37.0,46.0,60.0
852,55,42.5,66.5,71.5
853,41,35.5,57.5,41.5
854,25,27.5,42.5,52.5
855,56,43.0,35.0,29.0
856,56,43.0,28.0,37.0
857,56,43.0,71.0,70.0
858,38,34.0,69.0,48.0
859,22,26.0,36.0,47.0
860,30,30.0,30.0,65.0
861,35,32.5,42.5,42.5
862,25,27.5,56.5,42.5
863,25,27.5,45.5,19.5
864,25,27.5,52.5,60.5
865,25,27.5,50.5,44.5
866,40,35.0,58.0,46.0
867,25,27.5,46.5,58.5
868,11,20.5,41.5,25.5
869,25,27.5,35.5,42.5
870,25,27.5,13.5,21.5
